Timestamp,EnteringGradeLevel,District,BirthMonth,OLSATVerbalScore,OLSATVerbalPercentile,NNATNonVerbalRawScore,NNATNonVerbalPercentile,OverallScore,SchoolPreferences,SchoolAssigned,Willyouenrollthere,TimestampYear
2018-03-27,first,2,February,22,94,39,99,94,PS166,NA,NA,2018
2018-03-27,first,2,November,15,79,35,99,94,"PS33, PS11",NA,Not sure,2018
2018-03-27,first,2,February,23,96,33,92,94,"LL, PS 198, PS 130, PS 11, PS 33",NA,Yes,2018
2018-03-27,kindergarten,20,March,24,79,44,99,94,:-(,NA,NA,2018
2018-03-27,kindergarten,20,June,27,99,26,79,94,No idea!,PS 205,No,2018
2018-03-28,kindergarten,2,August,19,90,32,96,94,"Ps11, ps33",NA,NA,2018
2018-03-27,first,20,June,0,91,0,95,93,NA,\,NA,2018
2018-03-27,second,3,July,0,62,0,99,91,NA,NA,NA,2018
2021-01-19,kindergarten,6,August,15,75,33,98,91,NA,NA,No,2021
2018-03-27,first,2,December,10,48,31,98,84,NA,NA,Maybe,2018
2018-03-27,first,2,July,19,89,24,71,81,:( maybe next year,NA,NA,2018
2018-03-27,first,2,August,13,62,29,91,79,NA,NA,NA,2018
